date,day,country_id,lat,long,confirmed,deaths,recovered,active,confirmed_daily,deaths_daily,recovered_daily,daily_change_in_active_cases,active_daily_growth_rate,active_rolling_3_day_growth_rate
2020-02-24,1,1,33.0,65.0,1,0,0,1,,,,,,
2020-02-25,2,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,
2020-02-26,3,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,
2020-02-27,4,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,5,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,6,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,7,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,8,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,9,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,10,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,11,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,12,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,13,1,33.0,65.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,14,1,33.0,65.0,4,0,0,4,3.0,0.0,0.0,3.0,3.0,0.587400318433
2020-03-09,15,1,33.0,65.0,4,0,0,4,0.0,0.0,0.0,0.0,0.0,0.587400318433
2020-03-10,16,1,33.0,65.0,5,0,0,5,1.0,0.0,0.0,1.0,0.25,0.70997502931
2020-03-11,17,1,33.0,65.0,7,0,0,7,2.0,0.0,0.0,2.0,0.4,0.205070907295
2020-03-12,18,1,33.0,65.0,7,0,0,7,0.0,0.0,0.0,0.0,0.0,0.205070907295
2020-03-13,19,1,33.0,65.0,7,0,0,7,0.0,0.0,0.0,0.0,0.0,0.118688816612
2020-03-14,20,1,33.0,65.0,11,0,0,11,4.0,0.0,0.0,4.0,0.571428571428,0.162603116897
2020-03-15,21,1,33.0,65.0,16,0,0,16,5.0,0.0,0.0,5.0,0.454545454545,0.317267149031
2020-03-16,22,1,33.0,65.0,21,0,1,20,5.0,0.0,1.0,4.0,0.25,0.41898291541
2020-03-17,23,1,33.0,65.0,22,0,1,21,1.0,0.0,0.0,1.0,0.05,0.240534298582
2020-03-18,24,1,33.0,65.0,22,0,1,21,0.0,0.0,0.0,0.0,0.0,0.094879685727
2020-03-19,25,1,33.0,65.0,22,0,1,21,0.0,0.0,0.0,0.0,0.0,0.016396340285
2020-03-20,26,1,33.0,65.0,24,0,1,23,2.0,0.0,0.0,2.0,0.095238095238,0.03078834785
2020-03-21,27,1,33.0,65.0,24,0,1,23,0.0,0.0,0.0,0.0,0.0,0.03078834785
2020-03-22,28,1,33.0,65.0,40,1,1,38,16.0,1.0,0.0,15.0,0.652173913043,0.218581783058
2020-03-23,29,1,33.0,65.0,40,1,1,38,0.0,0.0,0.0,0.0,0.0,0.182184282157
2020-03-24,30,1,33.0,65.0,74,1,1,72,34.0,0.0,0.0,34.0,0.894736842105,0.462855363169
2020-03-25,31,1,33.0,65.0,84,2,2,80,10.0,1.0,1.0,8.0,0.111111111111,0.281647778302
2020-03-26,32,1,33.0,65.0,94,4,2,88,10.0,2.0,0.0,8.0,0.1,0.323019474528
2020-03-27,33,1,33.0,65.0,110,4,2,104,16.0,0.0,0.0,16.0,0.181818181818,0.130403675779
2020-03-28,34,1,33.0,65.0,110,4,2,104,0.0,0.0,0.0,0.0,0.0,0.091392787614
2020-03-29,35,1,33.0,65.0,120,4,2,114,10.0,0.0,0.0,10.0,0.096153846153,0.090119283893
2020-03-30,36,1,33.0,65.0,170,4,2,164,50.0,0.0,0.0,50.0,0.438596491228,0.163956554619
2020-03-31,37,1,33.0,65.0,174,4,5,165,4.0,0.0,3.0,1.0,0.006097560975,0.166317525367
2020-04-01,38,1,33.0,65.0,237,4,5,228,63.0,0.0,0.0,63.0,0.381818181818,0.259920758791
2020-04-02,39,1,33.0,65.0,273,6,10,257,36.0,2.0,5.0,29.0,0.127192982456,0.161528026627
2020-04-03,40,1,33.0,65.0,281,6,10,265,8.0,0.0,0.0,8.0,0.031128404669,0.171081826271
2020-04-04,41,1,33.0,65.0,299,7,10,282,18.0,1.0,0.0,17.0,0.064150943396,0.073424218732
2020-04-05,42,1,33.0,65.0,349,7,15,327,50.0,0.0,5.0,45.0,0.159574468085,0.083606267355
2020-04-06,43,1,33.0,65.0,367,11,18,338,18.0,4.0,3.0,11.0,0.03363914373,0.084485060149
2020-04-07,44,1,33.0,65.0,423,14,18,391,56.0,3.0,0.0,53.0,0.156804733727,0.115088068969
2020-04-08,45,1,33.0,65.0,444,14,29,401,21.0,0.0,11.0,10.0,0.02557544757,0.070365683966
