country_id,population
37,1402451240
79,1361704519
177,329612245
80,266911900
129,220892331
24,211464690
125,206139587
14,168535074
139,146745098
111,126577691
87,125950000
134,108567169
53,100320616
59,98665000
180,96208984
81,83410181
171,83154997
66,83149300
62,67075000
166,66499842
175,66435550
85,60238522
155,58775022
165,55890747
91,51780579
38,49395678
90,47564296
157,47100396
7,44938712
3,43000000
159,42469555
173,41858119
172,40299300
82,39127900
135,38379000
33,38013015
116,35884667
146,34218169
178,34157653
105,32766760
1,32225560
179,32219521
133,32131400
5,31127674
67,30280811
117,30066648
120,29996478
183,29825968
32,26545864
103,26251309
9,25695166
164,23604265
124,22314743
158,21803000
27,20870060
107,20250833
138,19405156
104,19129952
36,19107216
89,18692336
184,17885422
163,17500657
52,17476328
121,17461181
70,16604026
35,16244513
147,16209125
154,15893219
31,15288489
185,15159624
156,12778250
140,12374397
71,12218357
19,11733059
170,11722038
74,11577779
17,11524454
21,11469896
44,11209628
29,10953317
68,10724599
88,10670392
51,10358320
161,10338368
136,10276617
11,10067108
174,9890400
77,9772756
16,9408400
84,9193050
76,9158345
131,8935000
10,8902600
162,8603899
150,7901454
168,7538000
132,7252672
95,7123205
148,6963764
26,6951482
99,6871287
97,6825442
94,6533500
54,6486201
123,6460411
47,5822763
151,5703600
61,5528390
34,5496011
152,5457873
127,5367580
41,5058007
122,4982321
83,4921500
128,4664790
98,4475353
93,4420110
130,4218808
109,4077347
43,4076246
65,3723464
176,3518552
56,3497117
114,3315344
22,3301000
8,2957500
2,2845955
101,2793471
137,2747282
86,2726667
112,2681735
119,2458936
64,2347706
23,2338851
63,2172579
153,2094060
126,2077132
96,1906800
92,1795666
72,1604528
13,1543300
169,1363985
55,1358276
57,1328360
110,1265985
58,1093238
49,1078373
60,884887
45,875900
73,782766
20,741672
115,622359
102,626108
182,582463
160,581372
108,493559
25,442400
18,408487
12,385340
106,374775
78,366130
15,287025
142,178696
69,112003
143,110608
149,97625
6,96453
4,77543
50,71808
141,52823
100,38749
113,38100
144,33553
