Date,Day,Province,Cases by Province,New cases,Total cases,Total tested,New deaths,Total deaths,Recovered
2020-03-04,-1,Eastern Cape,0.0,0,0,181,0,0,0
2020-03-05,0,Eastern Cape,0.0,1,1,0,0,0,0
2020-03-06,1,Eastern Cape,0.0,0,1,0,0,0,0
2020-03-07,2,Eastern Cape,0.0,1,2,0,0,0,0
2020-03-08,3,Eastern Cape,0.0,1,3,0,0,0,0
2020-03-09,4,Eastern Cape,0.0,4,7,0,0,0,0
2020-03-10,5,Eastern Cape,,3,10,0,0,0,0
2020-03-12,6,Eastern Cape,0.0,3,16,848,0,0,0
2020-03-13,7,Eastern Cape,0.0,8,24,924,0,0,0
2020-03-14,8,Eastern Cape,0.0,14,38,1017,0,0,0
2020-03-15,9,Eastern Cape,0.0,13,51,1476,0,0,0
2020-03-16,10,Eastern Cape,0.0,11,62,2405,0,0,0
2020-03-17,11,Eastern Cape,0.0,23,85,2911,0,0,0
2020-03-18,12,Eastern Cape,0.0,31,116,3070,0,0,0
2020-03-19,13,Eastern Cape,0.0,34,150,4832,0,0,0
2020-03-20,14,Eastern Cape,0.0,52,202,6438,0,0,0
2020-03-21,15,Eastern Cape,1.0,38,240,7425,0,0,0
2020-03-22,16,Eastern Cape,1.0,34,274,9315,0,0,0
2020-03-23,17,Eastern Cape,,128,402,12815,0,0,0
2020-03-24,18,Eastern Cape,,152,554,15529,0,0,0
2020-03-25,19,Eastern Cape,,155,709,0,0,0,0
2020-03-26,20,Eastern Cape,,218,927,20471,0,0,0
2020-03-27,21,Eastern Cape,,243,1170,0,1,1,31
2020-03-28,22,Eastern Cape,,17,1187,31963,0,1,0
2020-03-29,23,Eastern Cape,,93,1280,35593,1,2,0
2020-03-30,24,Eastern Cape,,0,1326,38409,1,3,0
2020-03-31,25,Eastern Cape,,27,1353,41072,2,5,0
2020-04-01,26,Eastern Cape,,27,1380,44292,0,5,0
2020-04-02,27,Eastern Cape,2.0,82,1462,47965,0,5,45
2020-04-03,28,Eastern Cape,,43,1505,50361,2,7,0
2020-04-04,29,Eastern Cape,,80,1585,53937,2,9,0
2020-04-05,30,Eastern Cape,6.0,70,1655,56873,2,11,0
2020-04-06,31,Eastern Cape,1.0,31,1686,58098,1,12,0
2020-04-07,32,Eastern Cape,,63,1749,0,1,13,0
2020-04-08,33,Eastern Cape,45.0,96,1845,63776,5,18,0
2020-04-09,34,Eastern Cape,61.0,0,1934,63776,0,18,0
2020-04-10,35,Eastern Cape,68.0,0,2003,73028,0,24,410
2020-04-11,36,Eastern Cape,,0,2028,75053,1,25,0
2020-04-12,37,Eastern Cape,,145,2173,80085,0,25,0
2020-04-13,38,Eastern Cape,,0,2272,83663,0,27,0
2020-03-04,-1,Freestate,0.0,0,0,181,0,0,0
2020-03-05,0,Freestate,0.0,1,1,0,0,0,0
2020-03-06,1,Freestate,0.0,0,1,0,0,0,0
